"Date","CLI","CM_1M","CM_3M","CM_6M","CM_1Y","CM_2Y","CM_3Y","CM_5Y","CM_7Y","CM_10Y","CM_20Y","CM_30Y","DJ_ret","Volume_DJ_chg","RF_rate","AA","AAA","BBB","A","GDP_chg","High_Qua_2Y","High_Qua_5Y","High_Qua_10Y","High_Qua_30Y","Ind_Prod_chg","Perso_Cons_Exp_chg","CPI_chg","SaleTrade_chg","Cons_Sentiment","Unempl_Rate","SP500_ret","Volume_SP500_chg","PPIACO_chg","Rend_1M","Rend_3M","Rend_6M","Rend_1Y","Rend_2Y","Rend_3Y","Rend_5Y","Rend_7Y","Rend_10Y","Rend_20Y","Rend_30Y","StressIndicator_SL","Spread_10Y2Y","VIX","beta_0_realized","beta_1_realized","beta_2_realized","lambda_realized"
1996-01-01,98.6113,3.67,5.2,5.25,5.17,5.18,5.26,5.39,5.51,5.6,6.03,5.97,0.0124074400282976,-0.0424735604167242,5.56,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0123359201171913,5.52,5.93,6.33,6.96,-0.00521604227652972,-0.00231486022560079,0.00519818063677713,-0.00859131747512765,89.3,5.6,0.0419799344235223,0.0860769293456114,0.00477326968973735,2.21,5.051,5.055,2.254,4.933,8.259,5.236,2.698,5.576,1.178,6.027,-0.324575,0.54,13.4736363636364,6.16033585232143,-1.06306027254853,-0.943811346942237,0.311863771714541
1996-02-01,98.7355,3.67,5.03,4.98,4.88,4.93,5.05,5.24,5.47,5.63,6.11,6.08,0.0629396897150765,0.430129992365627,5.22,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0123359201171913,5.41,5.94,6.47,7.19,0.0144971661436133,0.00926126196983712,0.00193923723335487,0.0165543130568113,88.5,5.5,0.00319030598008219,0.392860492599749,-0.000791765637371267,2.21,4.996,5.009,2.254,5.426,8.156,5.741,2.698,6.103,1.178,6.467,-0.36295,0.78,15.033,6.20983569946596,-1.11052588980062,-2.21468481660647,0.551787926790903
1996-03-01,98.90493,3.67,4.98,4.94,5.07,5.26,5.4,5.6,5.86,5.99,6.48,6.38,0.0140796459749166,-0.182882523311093,5.31,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0123359201171913,6,6.53,6.93,7.55,-0.00161191978696051,0.0078904301745637,0.00322580645161286,0.00916958796667111,93.7,5.5,0.0127205643381472,0.280955395140872,0.00158478605388268,2.21,5.126,5.142,2.254,5.769,7.91,6.093,2.698,6.334,1.178,6.674,-0.2286,0.607619047619048,17.762380952381,6.65415888302606,-1.68438239365217,0.0206193672076929,0.286927551021278
1996-04-01,99.08377,3.67,5.2,5.26,5.41,5.79,5.91,6.09,6.28,6.31,6.82,6.66,0.0118996371887048,0.103888126669015,5.22,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0208899623154088,6.27,6.84,7.16,7.72,0.0101495915408283,0.00670751744534437,0.00385852090032146,0.00368501615737848,92.7,5.6,0.015359036271958,-0.211505201680098,0.00791139240506333,2.21,5.135,5.145,2.254,6.06,7.669,6.42,2.698,6.679,1.178,6.912,-0.132825,0.554090909090909,16.5752380952381,6.71264112131713,-1.69249792479064,-0.0372461040132454,0.551787926790903
1996-05-01,99.25133,3.67,5.11,5.29,5.6,6.03,6.19,6.39,6.58,6.68,7.08,6.91,-0.00367296119442417,-0.0720630972124484,5.24,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0208899623154088,6.41,6.98,7.35,7.82,0.00738018807966978,0.00303379416282645,0.00192184497117243,0.00750215667748422,89.4,5.6,0.0227002952168815,0.163600968045175,0.00549450549450547,2.21,5.152,5.173,2.254,6.254,7.37,6.634,2.698,6.848,1.178,6.988,-0.2351,0.641818181818182,16.1463636363636,6.94024200544765,-1.97354418448581,0.0507672157407316,0.797010619527928
1996-06-01,99.38778,3.67,5.23,5.41,5.78,6.26,6.43,6.64,6.8,6.87,7.19,7.01,0.0190322028013525,-0.0540440323381075,5.27,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0208899623154088,6.62,7.17,7.52,7.94,0.0075306257476826,0.00114858914966121,0.00191815856777477,-0.000351672995081653,92.4,5.3,0.00350464173884291,-0.0333119427955905,-0.000780640124902421,2.21,5.152,5.173,2.254,6.115,7.246,6.469,2.698,6.716,1.178,6.895,-0.1926,0.615,16.395,7.03748485961735,-2.14897796537391,0.270006146782851,0.999950705261653
1996-07-01,99.48357,3.67,5.27,5.43,5.74,6.15,6.33,6.49,6.61,6.74,7.03,6.91,-0.00213941529805539,-0.13062146049595,5.4,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0122706290676773,6.59,7.11,7.46,7.89,-3.31662198070903e-05,0.00422578301273457,0.00191448627951507,0.000260023657054242,94.7,5.5,-0.0398758082261685,0.707671973351984,0,2.21,5.306,5.322,2.254,6.216,7.321,6.573,2.698,6.798,1.178,6.977,-0.138125,0.595454545454545,17.9786363636364,6.90702271715616,-1.96791111801342,0.00697086995768438,0.999950705261653
1996-08-01,99.55967,3.67,5.25,5.41,5.74,6.08,6.25,6.41,6.52,6.65,6.94,6.84,-0.0145640107559039,0.363929738566496,5.22,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0122706290676773,6.37,6.87,7.24,7.68,0.00506000631505765,0.00439840819512938,0.00127388535031847,0.000158012508474137,95.3,5.1,0.0192597962191652,-0.458789025215626,0.00234375000000009,2.21,5.282,5.287,2.254,6.345,7.287,6.732,2.698,6.945,1.178,7.12,-0.2128,0.606363636363636,15.7604545454545,7.00274791013103,-1.9198513282829,-0.0520133251383899,0.99993395914561
1996-09-01,99.63203,3.67,5.32,5.58,5.94,6.35,6.54,6.71,6.83,6.92,7.22,7.07,0.0104696609255504,-0.257589841199175,5.3,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0122706290676773,6.57,7.08,7.44,7.87,0.00625158401622028,0.00409478672985797,0.00318066157760821,0.0134595195140099,94.7,5.2,0.0504653929236882,0.104084498912981,-0.000779423226812348,2.21,5.025,5.037,2.254,6.101,7.07,6.464,2.698,6.703,1.178,6.923,-0.160025,0.598,16.578,7.1511094253853,-2.14696598929922,0.206282833500151,0.999950705261653
1996-10-01,99.70577,3.67,5.1,5.35,5.65,6.03,6.22,6.39,6.54,6.65,6.99,6.88,0.0425325137639632,0.0272240473068757,5.24,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0157860729654693,6.22,6.74,7.12,7.61,-0.000145611199731333,0.00602273156364452,0.0031705770450221,0.00829733630361207,96.5,5.2,0.0376444388532782,-0.14081586422012,-0.00156006240249607,2.21,5.144,5.154,2.254,5.757,7.087,6.074,2.698,6.341,1.178,6.645,-0.135375,0.620909090909091,16.3817391304348,6.93612456323998,-2.15885164120368,0.0919657935320603,0.999950705261653
1996-11-01,99.78934,3.67,5.17,5.3,5.46,5.79,5.93,6.11,6.26,6.38,6.75,6.68,0.00861813411265611,0.184853717090012,5.31,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0157860729654693,6.02,6.45,6.79,7.31,0.00885340064786733,0.00426011072534482,0.00316055625790135,-0.00167074794647626,99.2,5.4,0.0730042812386531,0.628584756419097,0.00156249999999991,2.21,5.119,5.131,2.254,5.591,7.271,5.838,2.698,6.048,1.178,6.359,-0.22896,0.502105263157895,15.997,6.71641835080893,-1.63441234129583,0.0317970486198728,0.47818961220653
