,Date,Ticker,average_turnover_1Y,average_turnover_3Y,beta_1Y,beta_3Y,volatility_1Y,volatility_3Y
0,1999-12-31,ABT US Equity,66852863.53103174,46631355.042949215,0.0808379230530371,0.0789873709095273,0.3574116458986979,0.3043692029038323
1,1999-12-31,ADM US Equity,16934642.037107144,23247209.70199801,0.0663197383356858,0.0477709167455546,0.3218237725665782,0.3191420779706299
2,1999-12-31,ADP US Equity,40722869.94611111,33280681.8393598,0.1742673057321685,0.1159202896878131,0.2949373247465877,0.28394056393601
3,1999-12-31,AEE US Equity,28847573.36507937,20085903.477473546,-0.008399043277075,-0.0137502440724931,0.2535027492532569,0.2409699527235531
4,1999-12-31,AEP US Equity,17172059.50186508,17781600.417619046,0.0275998469608829,0.0067145306644341,0.2047305187318338,0.1788421659319503
5,1999-12-31,AON US Equity,24855790.12676588,18088509.82686839,0.1149738734326801,0.0870203773255257,0.3384556257785172,0.2968864214247582
6,1999-12-31,APD US Equity,26043706.55583333,21400432.885079365,0.0222387460775379,0.0576507127882094,0.4464612155665283,0.3402859513362106
7,1999-12-31,APH US Equity,9181448.202539682,10657891.824338626,-0.013958873293392,-0.0591440077854767,0.3750116330367544,0.5739479727391198
8,1999-12-31,AVB US Equity,5753391.348170634,3790014.998281746,0.0066584700633217,0.0106426188856932,0.192270658793938,0.1672913036320061
9,1999-12-31,AVY US Equity,19094849.810357142,14324332.087354498,0.0283089213783598,0.0450803338164337,0.3208105698642547,0.311162958614253
10,1999-12-31,BALL US Equity,7865317.765714286,5544753.228148148,0.0518310752266297,0.0403656940090564,0.3576392445864331,0.3434902831797862
11,1999-12-31,BAX US Equity,30417538.90555556,25788544.5518,0.0772324334871708,0.0681093992831183,0.3051236607692427,0.3175528181144185
12,1999-12-31,BBWI US Equity,29014799.22904762,20181877.32187804,0.0697252353402164,0.0881950180691282,0.3690949402281427,0.3524386463616283
13,1999-12-31,BLK US Equity,4561925.068452381,3697419.334986773,0.0041019238672973,0.0185358019332678,0.2387099014846588,0.2580263791975163
14,1999-12-31,BWA US Equity,4511214.978412698,4103582.300952381,0.017563433547961,0.0531830781466697,0.2999180984161368,0.3225355612015425
15,1999-12-31,BXP US Equity,11871030.952380951,9465601.896296296,0.0228200132354301,0.0042582830468145,0.1545286994987179,0.1710291235599057
16,1999-12-31,CAG US Equity,23329986.754365075,24725869.943703707,0.0419244758946271,0.0389328501253034,0.3211215243324768,0.3109951884083622
17,1999-12-31,CAH US Equity,57224639.77238095,37449840.64133479,0.003938293607457,0.0339643250018992,0.437915995537909,0.3699586198626594
18,1999-12-31,CHRW US Equity,10275245.759420635,9588847.646949736,-0.0130470364066218,0.0031045748256135,0.322892876588312,0.4509277191477112
19,1999-12-31,CI US Equity,63225482.47404762,48113100.33944921,0.0731973753972784,0.0471820834817271,0.3505001515580922,0.2942121974274726
20,1999-12-31,CLX US Equity,63102442.6984127,39270638.13280424,0.0672002326771257,0.0601583023019184,0.402078731504746,0.3238426175250478
21,1999-12-31,CMA US Equity,25605007.44813492,22288671.11390212,0.0845887878583991,0.0733378395130446,0.2994309311058645,0.2878769209719518
22,1999-12-31,CMI US Equity,10389901.35873016,11245891.765079366,0.0186855554139003,0.0715678722186131,0.3926939433325715,0.3801374659951047
23,1999-12-31,CMS US Equity,16565923.01765873,12792009.342526456,0.0476332516985157,0.0104590393204707,0.2347745525809298,0.1942033918495741
24,1999-12-31,CNP US Equity,12593123.461507935,13239416.656111112,0.0505968355353946,0.0273976905999941,0.2409826885638241,0.2373301835627279
25,1999-12-31,COP US Equity,23264999.89396825,22368589.401567463,0.0537130483155948,0.0560890721944205,0.2838681149357039,0.2765700886629197
26,1999-12-31,CPB US Equity,33864677.15115079,34435187.66762831,0.0425121497789161,0.0352250017635867,0.3270547087364924,0.3045238784105077
27,1999-12-31,CSX US Equity,21799062.814285714,24696774.315714285,-0.0007819027550525,0.034114888738751,0.3976125075490373,0.3211560685783285
28,1999-12-31,CTRA US Equity,1431975.2704761904,1387900.1528571427,0.0163476656654953,0.0192829002706149,0.3769878122374881,0.401140909453561
29,1999-12-31,DE US Equity,39996590.78746032,44349012.182910055,0.0147953815646622,0.0641682324699713,0.3817094934753638,0.354709736612262
30,1999-12-31,DHI US Equity,4035498.0326059526,3945741.62123545,-0.059632768603121,0.0044909694333384,0.4293148695855577,0.4840159799529501
31,1999-12-31,DHR US Equity,12924514.55984127,7857766.357089947,0.1296464963278737,0.0821143630349856,0.3337952468404203,0.3191055411117832
32,1999-12-31,DOV US Equity,13063536.9975,11630693.305873016,0.0635839487502357,0.07428834712969,0.3098023727617653,0.297592498979018
33,1999-12-31,DRI US Equity,6099674.375,5433343.032561111,0.02395003742507,0.0261237221077287,0.4129394082466569,0.3752807383981644
34,1999-12-31,DTE US Equity,13416092.524285711,12417278.80414021,0.0435314786666875,0.0175071470453384,0.2149711505713949,0.1920931307748347
35,1999-12-31,DUK US Equity,30514038.388226982,26594628.44765489,0.0469038805342314,0.0085932146329219,0.2219306605809955,0.1948179700761675
36,1999-12-31,DVN US Equity,14231488.560238097,7018523.732248677,-0.0626110097985916,-0.0460786569206486,0.3875255561206296,0.3573603262448101
37,1999-12-31,ECL US Equity,11488927.46373016,7886170.320830687,0.052732661538584,0.0611483442062967,0.2500903172386146,0.2469076961620134
38,1999-12-31,ED US Equity,21074578.234801587,20627247.44202381,0.0444245434880518,0.0135252078008937,0.20101351104306,0.2000257939287083
39,1999-12-31,EIX US Equity,20873720.05873016,22048510.882506613,0.0240310043672417,0.0073897520388974,0.260797250383008,0.2306828388170752
40,1999-12-31,EL US Equity,33421117.792142857,22471109.92626984,-0.1075125069858281,-0.0492028987433932,0.4202181730510214,0.364835247495975
41,1999-12-31,EMN US Equity,13403554.75015873,12736338.126719575,0.0410024287735517,0.0311926029581847,0.3199565402587746,0.277113015329705
42,1999-12-31,EMR US Equity,61283017.7231746,48135910.71665344,0.0837470395767969,0.0651804832837623,0.2852187778193056,0.2691555702277006
43,1999-12-31,EQR US Equity,11755393.665238095,10240582.887328044,0.0057303431456078,0.0146800694785948,0.170029169755381,0.1806950520783551
44,1999-12-31,ES US Equity,7431970.610119048,5945101.323991402,0.0224905563455994,0.0289920530275204,0.2226151077257618,0.3077288169680759
45,1999-12-31,ETN US Equity,24050479.184603177,21050239.153801583,0.0880391333450947,0.0556014588647305,0.3093942095842337,0.2670127029152897
46,1999-12-31,ETR US Equity,18410190.506626982,20983791.509603176,0.0465878188685233,-0.0007992183037579,0.2200601966059021,0.2148886869036171
47,1999-12-31,EW US Equity,16090711.98095238,13396702.483587302,0.0240112770776937,0.015834038366785,0.2109052302728584,0.2991170272300689
48,1999-12-31,EXC US Equity,23072524.953571428,18084605.57063492,0.0713073925866217,0.0165262094279151,0.2528893266148036,0.2589138742299673
49,1999-12-31,FE US Equity,40567289.515873015,29117020.263571423,-0.0229983158311547,-0.0062385613036449,0.3904303561999939,0.3094869965915311
50,1999-12-31,FIS US Equity,14107168.449007938,7331130.416744311,0.0313740237171416,-0.0149501141202941,0.2680433005954564,0.2287892542618798
51,1999-12-31,FMC US Equity,4063185.9703174606,3844634.140793651,0.0046866981730331,0.0418207384672882,0.3624097478338841,0.2842870751455378
52,1999-12-31,GD US Equity,36802209.87380952,21320405.22724868,0.1299874122337592,0.0674869507636014,0.3394412718417222,0.2986749523589728
53,1999-12-31,GIS US Equity,35893364.930158734,34994773.64010582,0.0586760535845319,0.031676942867766,0.1884260314603279,0.1812243138634627
54,1999-12-31,GL US Equity,11539522.565357145,11435967.622976191,0.1077549479144901,0.0613195743883529,0.3652783912617371,0.3137738368430613
55,1999-12-31,GPC US Equity,9641073.708809525,9849468.70277778,0.0717725182110252,0.0455336641651932,0.2610222821324713,0.2229330679159243
56,1999-12-31,HES US Equity,20771892.616666667,19911750.26083333,0.0453454402459393,0.0554148651636418,0.2959914299433936,0.2837804939154095
57,1999-12-31,HRL US Equity,4748740.540634921,3662668.607195767,0.0388956698313875,0.0496024226148359,0.2979439747021644,0.2743044684966857
58,1999-12-31,HST US Equity,8083131.545575794,9662844.212426588,-0.0305530691608768,0.0269230952999262,0.3346941339169954,0.3527319333481121
59,1999-12-31,HSY US Equity,28087973.79857143,21546987.25968254,0.0515100080255051,0.0172449090909213,0.3111038162546362,0.2920256078836364
60,1999-12-31,IFF US Equity,9748407.208333334,11867440.188657409,0.0719030098579787,0.0209721938096624,0.2802344278495733,0.2621065446130339
61,1999-12-31,ITW US Equity,46325305.10809524,29603683.642513223,0.0620245658996656,0.0553340042918596,0.3355582961398982,0.3094762437620428
62,1999-12-31,J US Equity,2290724.87936508,2115487.5149206347,0.0019681403044517,0.0211941968840978,0.2621392263815447,0.2567653903191091
63,1999-12-31,K US Equity,20671453.905357145,23432709.43286958,0.0752230395759269,0.0757577498453609,0.2976068141202557,0.2911482286510322
64,1999-12-31,KIM US Equity,4385073.420952381,3666551.689801588,0.0164709798508409,0.0276948607802042,0.1624406634086928,0.1763221293995983
65,1999-12-31,L US Equity,20577262.95,22447094.84920635,0.0623086880734748,0.0342206556364167,0.2506882206201732,0.2430148452711941
66,1999-12-31,LIN US Equity,28188242.050317463,29046254.641349208,0.0354082170115046,0.0340688463692348,0.3815938934120664,0.3333672210335129
67,1999-12-31,MAR US Equity,42376888.81428254,36137214.19006349,-0.0333711605487729,-0.0439367112387396,0.4008930458872653,0.3984450552926849
68,1999-12-31,MCO US Equity,33358628.36507937,21269445.81994709,0.0133499083247597,0.0013562778003801,0.3042636066219864,0.2987029462953201
69,1999-12-31,MKC US Equity,5391358.778095238,6644480.616084657,0.0832174494790064,0.0658994199627641,0.2833566836763873,0.2752395435063479
70,1999-12-31,MTB US Equity,3756848.992063492,3453266.328174603,-0.025711980933125,-0.0240715076297692,0.2300831536310346,0.2278113935367461
71,1999-12-31,NEE US Equity,26293308.672698416,25592821.52493651,0.0330415691247745,0.0045059446564879,0.2068254129394088,0.1838881392166246
72,1999-12-31,NI US Equity,3306717.53781746,2962865.9715740746,0.0752577831421001,0.0133040316846101,0.247424375383276,0.1858661677877191
